"filename", "language", "HTML", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Properties", "comment", "blank", "total"
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\dist\assets\index-B3Lllsr0.js", "JavaScript", 0, 272, 0, 0, 0, 0, 1, 13, 286
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\dist\index.html", "HTML", 33, 0, 0, 0, 0, 0, 5, 3, 41
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\index.html", "HTML", 29, 0, 0, 0, 0, 0, 4, 3, 36
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\package-lock.json", "JSON", 0, 0, 3657, 0, 0, 0, 0, 1, 3658
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 1, 44
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 65, 0, 0, 4, 7, 76
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\ThemeContext.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 5, 12
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\api\axios.js", "JavaScript", 0, 44, 0, 0, 0, 0, 21, 15, 80
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\AdminFilterPanel.jsx", "JavaScript JSX", 0, 0, 0, 165, 0, 0, 1, 10, 176
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\CreateUserDialog.jsx", "JavaScript JSX", 0, 0, 0, 208, 0, 0, 2, 8, 218
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\EditUserDialog.jsx", "JavaScript JSX", 0, 0, 0, 212, 0, 0, 5, 20, 237
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\FacultyFilterPanel.jsx", "JavaScript JSX", 0, 0, 0, 113, 0, 0, 4, 9, 126
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\FilterPanel.jsx", "JavaScript JSX", 0, 0, 0, 151, 0, 0, 11, 16, 178
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\FormRow.jsx", "JavaScript JSX", 0, 0, 0, 241, 0, 0, 1, 22, 264
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\FormTable.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 2, 8, 74
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\GenericForm.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 5, 2, 34
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\GenericList.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 1, 7, 106
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\ImportDialog.jsx", "JavaScript JSX", 0, 0, 0, 196, 0, 0, 1, 23, 220
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\S1_1Form.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 3, 1, 18
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\S2_1Form.jsx", "JavaScript JSX", 0, 0, 0, 168, 0, 0, 9, 11, 188
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\S2_2Form.jsx", "JavaScript JSX", 0, 0, 0, 168, 0, 0, 9, 12, 189
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\S2_3Form.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 9, 10, 116
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\S3_1Form.jsx", "JavaScript JSX", 0, 0, 0, 119, 0, 0, 9, 12, 140
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\S3_2Form.jsx", "JavaScript JSX", 0, 0, 0, 250, 0, 0, 9, 11, 270
