"filename", "language", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "Python", "pip requirements", "HTML", "Properties", "comment", "blank", "total"
"g:\professional life\projects\Final sem project\Quarterly Report\README.md", "Markdown", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 294
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\admin.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\models.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\tests.py", "Python", 0, 0, 0, 0, 0, 80, 0, 0, 0, 34, 26, 140
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\urls.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 4, 19
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\utils.py", "Python", 0, 0, 0, 0, 0, 93, 0, 0, 0, 5, 6, 104
"g:\professional life\projects\Final sem project\Quarterly Report\backend\analytics\views.py", "Python", 0, 0, 0, 0, 0, 66, 0, 0, 0, 16, 22, 104
"g:\professional life\projects\Final sem project\Quarterly Report\backend\manage.py", "Python", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"g:\professional life\projects\Final sem project\Quarterly Report\backend\quarterly_report\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\quarterly_report\settings.py", "Python", 0, 0, 0, 0, 0, 138, 0, 0, 0, 33, 23, 194
"g:\professional life\projects\Final sem project\Quarterly Report\backend\quarterly_report\urls.py", "Python", 0, 0, 0, 0, 0, 81, 0, 0, 0, 8, 11, 100
"g:\professional life\projects\Final sem project\Quarterly Report\backend\quarterly_report\wsgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\admin.py", "Python", 0, 0, 0, 0, 0, 353, 0, 0, 0, 12, 43, 408
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\filters.py", "Python", 0, 0, 0, 0, 0, 181, 0, 0, 0, 4, 40, 225
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 908, 0, 0, 0, 1, 7, 916
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\migrations\0002_initial_data.py", "Python", 0, 0, 0, 0, 0, 22, 0, 0, 0, 11, 10, 43
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\migrations\0003_alter_t2_2workshoporganized_role.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 6, 19
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\migrations\0004_alter_s1_1theorysubjectdata_department_and_more.py", "Python", 0, 0, 0, 0, 0, 360, 0, 0, 0, 1, 6, 367
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\models.py", "Python", 0, 0, 0, 0, 0, 547, 0, 0, 0, 24, 99, 670
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\permissions.py", "Python", 0, 0, 0, 0, 0, 20, 0, 0, 0, 8, 7, 35
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\serializers.py", "Python", 0, 0, 0, 0, 0, 65, 0, 0, 0, 27, 18, 110
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\utils.py", "Python", 0, 0, 0, 0, 0, 142, 0, 0, 0, 10, 33, 185
"g:\professional life\projects\Final sem project\Quarterly Report\backend\reports\views.py", "Python", 0, 0, 0, 0, 0, 158, 0, 0, 0, 13, 25, 196
"g:\professional life\projects\Final sem project\Quarterly Report\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 61
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\admin.py", "Python", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\apps.py", "Python", 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 3, 13
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 6, 41
